Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	41	354989	1247486	2152717	3305	0	379431	362222	0	183686	3680	3675	176327
BFS/TD	Branch-avoiding	42	386735	1361999	2365448	1194	0	417227	398315	0	201830	4036	4032	193757
BFS/TD	Branch-avoiding	43	411853	1450512	2529827	1726	0	446153	426108	0	215855	4315	4312	207222
BFS/TD	Branch-avoiding	44	444842	1567653	2747535	1318	0	484547	462750	0	234422	4679	4676	225061
BFS/TD	Branch-avoiding	45	470337	1655849	2928969	1106	0	517168	493553	0	249959	5036	5033	239883
BFS/TD	Branch-avoiding	46	478688	1688603	2988087	1272	0	527209	503247	0	254958	5099	5096	244757
BFS/TD	Branch-avoiding	47	486952	1717256	3055543	1425	0	539420	514734	0	260759	5253	5250	250250
BFS/TD	Branch-avoiding	48	490484	1681389	2985407	1267	0	527208	503046	0	254751	5113	5110	244522
BFS/TD	Branch-avoiding	49	494885	1700942	3003321	1364	0	529815	505856	0	256252	5120	5117	246009
BFS/TD	Branch-avoiding	50	486568	1716651	3001529	1600	0	529761	505613	0	256119	5136	5131	245848
BFS/TD	Branch-avoiding	51	483674	1703514	2959978	1269	0	522029	498532	0	252542	5037	5033	242467
BFS/TD	Branch-avoiding	52	517759	1821745	3192129	1539	0	563421	537882	0	272378	5456	5453	261463
BFS/TD	Branch-avoiding	53	545911	1928065	3382701	1719	0	597110	570105	0	288652	5792	5789	277064
BFS/TD	Branch-avoiding	54	564613	1989611	3488663	1532	0	615817	587983	0	297669	5953	5950	285760
BFS/TD	Branch-avoiding	55	587292	2066387	3624027	1791	0	639788	610625	0	309227	6191	6188	296842
BFS/TD	Branch-avoiding	56	613927	2095542	3643133	1428	0	643483	614026	0	310909	6268	6265	298370
BFS/TD	Branch-avoiding	57	590007	2067990	3587915	1380	0	633562	604688	0	306185	6165	6160	293856
BFS/TD	Branch-avoiding	58	569680	1995914	3498474	2145	0	617178	589443	0	298511	5975	5971	286560
BFS/TD	Branch-avoiding	59	558888	1968872	3411771	1590	0	601905	574792	0	291098	5813	5810	279469
BFS/TD	Branch-avoiding	60	550540	1934770	3349195	1644	0	591126	564216	0	285770	5715	5712	274336
BFS/TD	Branch-avoiding	61	557088	1962585	3393299	1840	0	598522	571562	0	289526	5785	5782	277953
BFS/TD	Branch-avoiding	62	580985	2043882	3553707	1415	0	627174	598679	0	303220	6065	6062	291087
BFS/TD	Branch-avoiding	63	615016	2148200	3686003	1819	0	650380	620771	0	314506	6289	6286	301925
BFS/TD	Branch-avoiding	64	645792	2268052	3861241	2178	0	681040	650335	0	329444	6578	6573	316289
BFS/TD	Branch-avoiding	65	667532	2348618	4032894	1962	0	711862	679474	0	344124	6899	6895	330325
BFS/TD	Branch-avoiding	66	690555	2428230	4184811	1820	0	738971	705505	0	357086	7157	7154	342769
BFS/TD	Branch-avoiding	67	702417	2476301	4255393	2024	0	751432	717274	0	363124	7290	7287	348540
BFS/TD	Branch-avoiding	68	708314	2490554	4329659	1947	0	764583	729761	0	369467	7423	7420	354618
BFS/TD	Branch-avoiding	69	709356	2475563	4286041	1528	0	756430	722098	0	365726	7332	7329	351059
BFS/TD	Branch-avoiding	70	690951	2437737	4175704	2409	0	737151	703768	0	356327	7159	7154	342010
BFS/TD	Branch-avoiding	71	671056	2366244	4059231	1381	0	716674	684009	0	346425	6990	6986	332444
BFS/TD	Branch-avoiding	72	644193	2267025	3907311	1733	0	689668	658568	0	333472	6737	6734	319994
BFS/TD	Branch-avoiding	73	638253	2244707	3879997	1959	0	684646	653610	0	331056	6618	6615	317817
BFS/TD	Branch-avoiding	74	635358	2239105	3863791	1448	0	681988	650894	0	329730	6639	6636	316449
BFS/TD	Branch-avoiding	75	633241	2203446	3828545	2042	0	675465	645004	0	326703	6562	6559	313576
BFS/TD	Branch-avoiding	76	618448	2173514	3764263	1551	0	664030	633980	0	321191	6431	6426	308330
BFS/TD	Branch-avoiding	77	624368	2195551	3779488	1566	0	667416	636852	0	322574	6528	6524	309517
BFS/TD	Branch-avoiding	78	601170	2109958	3652193	1551	0	644270	615288	0	311615	6226	6223	299160
BFS/TD	Branch-avoiding	79	606835	2131312	3676585	1703	0	648995	619370	0	313763	6324	6321	301111
BFS/TD	Branch-avoiding	80	609637	2144218	3724157	1797	0	656861	627264	0	317759	6352	6349	305052
BFS/TD	Branch-avoiding	81	650789	2261780	3919183	1999	0	691751	660364	0	334444	6723	6720	320995
BFS/TD	Branch-avoiding	82	669291	2349089	4059319	1884	0	716210	683964	0	346367	6935	6930	332498
BFS/TD	Branch-avoiding	83	694618	2435300	4223832	2524	0	746040	711955	0	360501	7298	7294	345904
BFS/TD	Branch-avoiding	84	684228	2404672	4118133	2808	0	726701	693998	0	351358	7010	7007	337335
BFS/TD	Branch-avoiding	85	718141	2526962	4348667	2835	0	767358	732647	0	371052	7423	7420	356202
BFS/TD	Branch-avoiding	86	747141	2636675	4538671	2088	0	801327	764926	0	387342	7815	7812	371709
